番号,表示・通知義務対象物質,CAS番号,表示裾切,通知裾切,Substances,"Content (Weight Percent)
for GHS Label","Content (Weight Percent)
for SDS",特化則※１,有機則※２,鉛則・四アルキル鉛則※３,石綿則※４,表示LEFT,表示value,通知LEFT,通知value
,別表第３第１号,,,,Attached Table 3（1）,,,,,,,,,,
1,ジクロルベンジジン及びその塩,91-94-1他,0.1%未満,0.1%未満,Dichlorobenzidine and its salts,"0.1%, no less than ","0.1%, no less than ",○第1類,,,,0.1%,0.1%,0.1%,0.1%
2,アルファ－ナフチルアミン及びその塩,134-32-7他,1%未満,1%未満,α-Naphthylamine and its salts,"1%, no less than ","1%, no less than ",○第1類,,,,1%,1.0%,1%,1.0%
3,塩素化ビフェニル（別名ＰＣＢ）,＊,0.1%未満,0.1%未満,Polychlorinated biphenyl (alias PCB),"0.1%, no less than ","0.1%, no less than ",○第1類,,,,0.1%,0.1%,0.1%,0.1%
4,オルト－トリジン及びその塩,119-93-7他,1%未満,0.1%未満,o-Tolidine and its salts,"1%, no less than ","0.1%, no less than ",○第1類,,,,1%,1.0%,0.1%,0.1%
5,ジアニシジン及びその塩,119-90-4他,1%未満,0.1%未満,Dianisidine and its salts,"1%, no less than ","0.1%, no less than ",○第1類,,,,1%,1.0%,0.1%,0.1%
6,ベリリウム及びその化合物,＊,0.1%未満,0.1%未満,Beryllium and its compounds,"0.1%, no less than ","0.1%, no less than ",○第1類,,,,0.1%,0.1%,0.1%,0.1%
7,ベンゾトリクロリド,98-07-7,0.1%未満,0.1%未満,Benzotrichloride,"0.1%, no less than ","0.1%, no less than ",○第1類,,,,0.1%,0.1%,0.1%,0.1%
,別表第９,,,,Attached Table 9,,,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!
1,アクリルアミド,79-06-1,0.1%未満,0.1%未満,Acrylamide,"0.1%, no less than ","0.1%, no less than ",○第2類,,,,0.1%,0.1%,0.1%,0.1%
2,アクリル酸,79-10-7,1%未満,1%未満,Acrylic acid,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
3,アクリル酸エチル,140-88-5,1%未満,0.1%未満,Ethyl acrylate,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
4,アクリル酸ノルマル－ブチル,141-32-2,1%未満,0.1%未満,n-Butyl acrylate,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
5,アクリル酸２－ヒドロキシプロピル,999-61-1,1%未満,0.1%未満,2-Hydroxypropyl acrylate,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
6,アクリル酸メチル,96-33-3,1%未満,0.1%未満,Methyl acrylate,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
7,アクリロニトリル,107-13-1,1%未満,0.1%未満,Acrylonitrile,"1%, no less than ","0.1%, no less than ",○第2類,,,,1%,1.0%,0.1%,0.1%
8,アクロレイン,107-02-8,1%未満,1%未満,Acrolein,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
9,アジ化ナトリウム,26628-22-8,1%未満,1%未満,Sodium azide,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
10,アジピン酸,124-04-9,1%未満,1%未満,Adipic acid,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
11,アジポニトリル,111-69-3,1%未満,1%未満,Adiponitrile,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
11-2,亜硝酸イソブチル,542-56-3,1%未満,0.1%未満,Isobutyl nitrite,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
11-3,アスファルト,8052-42-4,1%未満,0.1%未満,Asphalt,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
11-4,アセチルアセトン,123-54-6,1%未満,1%未満,Acetylacetone,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
12,アセチルサリチル酸（別名アスピリン）,50-78-2,0.3%未満,0.1%未満,Acetylsalicylic acid (alias Aspirin),"0.3%, no less than ","0.1%, no less than ",,,,,0.3%,0.3%,0.1%,0.1%
13,アセトアミド,60-35-5,1%未満,0.1%未満,Acetamide,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
14,アセトアルデヒド,75-07-0,1%未満,0.1%未満,Acetaldehyde,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
15,アセトニトリル,75-05-8,1%未満,1%未満,Acetonitrile,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
16,アセトフェノン,98-86-2,1%未満,1%未満,Acetophenone,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
17,アセトン,67-64-1,1%未満,0.1%未満,Acetone,"1%, no less than ","0.1%, no less than ",,○第2種,,,1%,1.0%,0.1%,0.1%
18,アセトンシアノヒドリン,75-86-5,1%未満,1%未満,Acetone cyanohydrin,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
19,アニリン,62-53-3,1%未満,0.1%未満,Aniline,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
20,アミド硫酸アンモニウム,7773-06-0,1%未満,1%未満,Ammonium amidosulfate,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
21,２－アミノエタノール,141-43-5,1%未満,0.1%未満,2-Aminoethanol,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
22,４－アミノ－６－ターシャリ－ブチル－３－メチルチオ－１，２，４－トリアジン－５（４Ｈ）－オン（別名メトリブジン）,21087-64-9,1%未満,1%未満,"4-Amino-6-tert-butyl-3-methylthio-1,2,4-triazin-5(4H)-one (alias Metribuzin)","1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
23,３－アミノ－１Ｈ－１，２，４－トリアゾール（別名アミトロール）,61-82-5,1%未満,0.1%未満,"3-Amino-1H-1,2,4-triazole (alias Amitrole)","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
24,４―アミノ―３，５，６―トリクロロピリジン―２―カルボン酸（別名ピクロラム）,1918-02-1,1%未満,1%未満,"4-Amino-3,5,6-trichloropyridine-2-carboxylic acid (alias Picloram)","1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
25,２―アミノピリジン,504-29-0,1%未満,1%未満,2-Aminopyridine,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
26,亜硫酸水素ナトリウム,7631-90-5,1%未満,1%未満,Sodium hydrogen sulfite,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
27,アリルアルコール,107-18-6,1%未満,1%未満,Allyl alcohol,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
28,１―アリルオキシ―２，３―エポキシプロパン,106-92-3,1%未満,0.1%未満,"1-Allyloxy-2,3-epoxypropane","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
29,アリル水銀化合物,＊,1%未満,0.1%未満,Arylmercury compounds,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
30,アリル―ノルマル―プロピルジスルフィド,2179-59-1,1%未満,0.1%未満,Allyl n-propyl disulfide,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
31,亜りん酸トリメチル,121-45-9,1%未満,1%未満,Trimethyl phosphite,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
32,アルキルアルミニウム化合物,＊,1%未満,1%未満,Alkylaluminum compounds,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
33,アルキル水銀化合物,＊,0.3%未満,0.1%未満,Alkylmercury compounds,"0.3%, no less than ","0.1%, no less than ","○第2類
※アルキル基がメチル基又はエチル基である物に限る。",,,,0.3%,0.3%,0.1%,0.1%
34,３―（アルファ―アセトニルベンジル）―４―ヒドロキシクマリン（別名ワルファリン）,81-81-2,0.3%未満,0.1%未満,3-(α-Acetonylbenzyl)-4-hydroxycoumarin (alias Warfarin),"0.3%, no less than ","0.1%, no less than ",,,,,0.3%,0.3%,0.1%,0.1%
35,アルファ，アルファ―ジクロロトルエン,98-87-3,0.1%未満,0.1%未満,"α,α-Dichlorotoluene","0.1%, no less than ","0.1%, no less than ",,,,,0.1%,0.1%,0.1%,0.1%
36,アルファ―メチルスチレン,98-83-9,1%未満,0.1%未満,α-Methylstyrene,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
37,アルミニウム,7429-90-5,1%未満,1%未満,Aluminum,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
37,アルミニウム水溶性塩,＊,1%未満,0.1%未満,Water-soluble aluminum salts,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
38,アンチモン及びその化合物（三酸化二アンチモンを除く。）,＊,1%未満,0.1%未満,Antimony and its compounds (excluding Antimony trioxide),"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
38,三酸化二アンチモン,1309-64-4,0.1%未満,0.1%未満,Antimony trioxide,"0.1%, no less than ","0.1%, no less than ",○第2類,,,,0.1%,0.1%,0.1%,0.1%
39,アンモニア,7664-41-7,0.2%未満,0.1%未満,Ammonia,"0.2%, no less than ","0.1%, no less than ",○第3類,,,,0.2%,0.2%,0.1%,0.1%
39-2,石綿（労働安全衛生法施行令第16条第1項第4号イからハまでに掲げる物で同号の厚生労働省令で定めるものに限る。）,＊,0.1%未満,0.1%未満,Asbestos,"0.1%, no less than ","0.1%, no less than ",,,,製造許可,0.1%,0.1%,0.1%,0.1%
40,３―イソシアナトメチル―３，５，５―トリメチルシクロヘキシル＝イソシアネート,4098-71-9,1%未満,0.1%未満,"3-Isocyanatomethyl-3,5,5-trimethylcyclohexyl isocyanate","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
41,イソシアン酸メチル,624-83-9,0.3%未満,0.1%未満,Methyl isocyanate,"0.3%, no less than ","0.1%, no less than ",,,,,0.3%,0.3%,0.1%,0.1%
42,イソプレン,78-79-5,1%未満,0.1%未満,Isoprene,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
43,Ｎ―イソプロピルアニリン,768-52-5,1%未満,0.1%未満,N-Isopropylaniline,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
44,Ｎ―イソプロピルアミノホスホン酸Ｏ―エチル―Ｏ―（３―メチル―４―メチルチオフェニル）（別名フェナミホス）,22224-92-6,1%未満,0.1%未満,O-Ethyl-O-(3-methyl-4-methylthiophenyl) N-isopropylaminophosphonate; Ethyl 3-methyl-4-(methylthio)phenyl (isopropyl)phosphoramidate (alias Fenamiphos),"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
45,イソプロピルアミン,75-31-0,1%未満,1%未満,Isopropylamine,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
46,イソプロピルエーテル,108-20-3,1%未満,0.1%未満,Isopropyl ether,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
47,３′―イソプロポキシ―２―トリフルオロメチルベンズアニリド（別名フルトラニル）,66332-96-5,1%未満,1%未満,3'-Isopropoxy-2-trifluoromethylbenzanilide (alias Flutolanil),"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
48,イソペンチルアルコール（別名イソアミルアルコール）,123-51-3,1%未満,1%未満,Isopentyl alcohol (alias Isoamylalcohol),"1%, no less than ","1%, no less than ",,○第2種,,,1%,1.0%,1%,1.0%
49,イソホロン,78-59-1,1%未満,0.1%未満,Isophorone,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
50,一塩化硫黄,10025-67-9,1%未満,1%未満,Sulfur monochloride,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
51,一酸化炭素,630-08-0,0.3%未満,0.1%未満,Carbon monoxide,"0.3%, no less than ","0.1%, no less than ",○第3類,,,,0.3%,0.3%,0.1%,0.1%
52,一酸化窒素,10102-43-9,1%未満,1%未満,Nitrogen monoxide,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
53,一酸化二窒素,10024-97-2,0.3%未満,0.1%未満,Dinitrogen oxide,"0.3%, no less than ","0.1%, no less than ",,,,,0.3%,0.3%,0.1%,0.1%
54,イットリウム及びその化合物,＊,1%未満,1%未満,Yttrium and its compounds,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
55,イプシロン―カプロラクタム,105-60-2,1%未満,1%未満,ε-Caprolactam,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
56,２―イミダゾリジンチオン,96-45-7,0.3%未満,0.1%未満,2-Imidazolidinethione,"0.3%, no less than ","0.1%, no less than ",,,,,0.3%,0.3%,0.1%,0.1%
57,４，４′―（４―イミノシクロヘキサ―２，５―ジエニリデンメチル）ジアニリン塩酸塩（別名ＣＩベイシックレッド９）,569-61-9,1%未満,0.1%未満,"4,4'-(4-Iminocyclohexa-2,5-dienylidenemethylene)dianiline hydrochloride (alias CI basic red 9)","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
58,インジウム,7440-74-6,1%未満,1%未満,Indium,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
58,インジウム化合物,＊,0.1%未満,0.1%未満,Indium compounds,"0.1%, no less than ","0.1%, no less than ",○第2類,,,,0.1%,0.1%,0.1%,0.1%
59,インデン,95-13-6,1%未満,1%未満,Indene,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
60,ウレタン,51-79-6,0.1%未満,0.1%未満,Urethane,"0.1%, no less than ","0.1%, no less than ",,,,,0.1%,0.1%,0.1%,0.1%
61,エタノール,64-17-5,0.1%未満,0.1%未満,Ethanol,"0.1%, no less than ","0.1%, no less than ",,,,,0.1%,0.1%,0.1%,0.1%
62,エタンチオール,75-08-1,1%未満,1%未満,Ethanethiol,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
63,エチリデンノルボルネン,16219-75-3,1%未満,0.1%未満,Ethylidenenorbornene,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
64,エチルアミン,75-04-7,1%未満,1%未満,Ethylamine,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
65,エチルエーテル,60-29-7,1%未満,0.1%未満,Ethyl ether,"1%, no less than ","0.1%, no less than ",,○第2種,,,1%,1.0%,0.1%,0.1%
66,エチル―セカンダリ―ペンチルケトン,541-85-5,1%未満,1%未満,Ethyl sec-pentyl ketone,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
67,エチル―パラ―ニトロフェニルチオノベンゼンホスホネイト（別名ＥＰＮ）,2104-64-5,1%未満,0.1%未満,Ethyl p-nitrophenyl thionobenzenephosphonate (alias EPN),"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
68,Ｏ―エチル―Ｓ―フェニル＝エチルホスホノチオロチオナート（別名ホノホス）,944-22-9,1%未満,0.1%未満,O-Ethyl S-phenyl ethylphosphonodithioate (alias Fonofos),"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
69,２―エチルヘキサン酸,149-57-5,0.3%未満,0.1%未満,2-Ethylhexanoic acid,"0.3%, no less than ","0.1%, no less than ",,,,,0.3%,0.3%,0.1%,0.1%
70,エチルベンゼン,100-41-4,0.1%未満,0.1%未満,Ethylbenzene,"0.1%, no less than ","0.1%, no less than ",○第2類,,,,0.1%,0.1%,0.1%,0.1%
71,エチルメチルケトンペルオキシド,1338-23-4,1%未満,1%未満,Ethyl methyl ketone peroxide,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
72,Ｎ―エチルモルホリン,100-74-3,1%未満,1%未満,N-Ethylmorpholine,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
72-2,エチレン,74-85-1,1%未満,1%未満,Ethylen,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
73,エチレンイミン,151-56-4,0.1%未満,0.1%未満,Ethyleneimine,"0.1%, no less than ","0.1%, no less than ",○第2類,,,,0.1%,0.1%,0.1%,0.1%
74,エチレンオキシド,75-21-8,0.1%未満,0.1%未満,Ethylene oxide,"0.1%, no less than ","0.1%, no less than ",○第2類,,,,0.1%,0.1%,0.1%,0.1%
75,エチレングリコール,107-21-1,1%未満,1%未満,Ethylene glycol,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
76,エチレングリコールモノイソプロピルエーテル,109-59-1,1%未満,1%未満,Ethylene glycol monoisopropyl ether,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
77,エチレングリコールモノエチルエーテル（別名セロソルブ）,110-80-5,0.3%未満,0.1%未満,Ethylene glycol monoethyl ether (alias Cellosolve),"0.3%, no less than ","0.1%, no less than ",,○第2種,,,0.3%,0.3%,0.1%,0.1%
78,エチレングリコールモノエチルエーテルアセテート（別名セロソルブアセテート） ,111-15-9,0.3%未満,0.1%未満,Ethylene glycol monoethyl ether acetate (alias Cellosolve acetate),"0.3%, no less than ","0.1%, no less than ",,○第2種,,,0.3%,0.3%,0.1%,0.1%
79,エチレングリコールモノ―ノルマル―ブチルエーテル（別名ブチルセロソルブ） ,111-76-2,1%未満,0.1%未満,Ethylene glycol mono-n-butyl ether (alias Butyl cellosolve),"1%, no less than ","0.1%, no less than ",,○第2種,,,1%,1.0%,0.1%,0.1%
79-2,エチレングリコールモノブチルエーテルアセタート,112-07-2,1%未満,0.1%未満,Ethylene glycol monobutyl ether acetate,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
80,エチレングリコールモノメチルエーテル（別名メチルセロソルブ）,109-86-4,0.3%未満,0.1%未満,Ethylene glycol monomethyl ether (alias Methyl cellosolve),"0.3%, no less than ","0.1%, no less than ",,○第2種,,,0.3%,0.3%,0.1%,0.1%
81,エチレングリコールモノメチルエーテルアセテート,110-49-6,0.3%未満,0.1%未満,Ethylene glycol monomethyl ether acetate,"0.3%, no less than ","0.1%, no less than ",,,,,0.3%,0.3%,0.1%,0.1%
82,エチレンクロロヒドリン,107-07-3,0.1%未満,0.1%未満,Ethylene chlorohydrin,"0.1%, no less than ","0.1%, no less than ",,,,,0.1%,0.1%,0.1%,0.1%
83,エチレンジアミン,107-15-3,1%未満,0.1%未満,Ethylenediamine,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
84,１，１′―エチレン―２，２′―ビピリジニウム＝ジブロミド（別名ジクアット）,85-00-7,1%未満,0.1%未満,"1,1'-Ethylene-2,2'-bipyridinium dibromide (alias Diquat)","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
85,２―エトキシ―２，２―ジメチルエタン,637-92-3,1%未満,1%未満,"2-Ethoxy-2,2-dimethylethane; 2-Ethoxy-2-methylpropane","1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
86,２―（４―エトキシフェニル）―２―メチルプロピル＝３―フェノキシベンジルエーテル（別名エトフェンプロックス）,80844-07-1,1%未満,1%未満,2-(4-Ethoxyphenyl)-2-methylpropyl 3-phenoxybenzyl ether (alias Etofenprox),"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
87,エピクロロヒドリン,106-89-8,0.1%未満,0.1%未満,Epichlorohydrin,"0.1%, no less than ","0.1%, no less than ",,,,,0.1%,0.1%,0.1%,0.1%
88,１，２―エポキシ―３―イソプロポキシプロパン,4016-14-2,1%未満,1%未満,"1,2-Epoxy-3-isopropoxypropane","1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
89,２，３―エポキシ―１―プロパナール,765-34-4,1%未満,0.1%未満,"2,3-Epoxy-1-propanal","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
90,２，３―エポキシ―１―プロパノール,556-52-5,0.1%未満,0.1%未満,"2,3-Epoxy-1-propanol","0.1%, no less than ","0.1%, no less than ",,,,,0.1%,0.1%,0.1%,0.1%
91,２，３―エポキシプロピル＝フェニルエーテル,122-60-1,1%未満,0.1%未満,"2,3-Epoxypropyl phenyl ether","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
92,エメリー,1302-74-5,1%未満,1%未満,Emery,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
93,エリオナイト,12510-42-8,0.1%未満,0.1%未満,Erionite,"0.1%, no less than ","0.1%, no less than ",,,,,0.1%,0.1%,0.1%,0.1%
94,塩化亜鉛,7646-85-7,1%未満,0.1%未満,Zinc chloride,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
95,塩化アリル,107-05-1,1%未満,0.1%未満,Allyl chloride,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
96,塩化アンモニウム,12125-02-9,1%未満,1%未満,Ammonium chloride,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
97,塩化シアン,506-77-4,1%未満,1%未満,Cyanogen chloride,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
98,塩化水素,7647-01-0,0.2%未満,0.1%未満,Hydrogen chloride,"0.2%, no less than ","0.1%, no less than ",○第3類,,,,0.2%,0.2%,0.1%,0.1%
99,塩化チオニル,7719-09-7,1%未満,1%未満,Thionyl chloride,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
100,塩化ビニル,75-01-4,0.1%未満,0.1%未満,Vinyl chloride,"0.1%, no less than ","0.1%, no less than ",○第2類,,,,0.1%,0.1%,0.1%,0.1%
101,塩化ベンジル,100-44-7,1%未満,0.1%未満,Benzyl chloride,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
102,塩化ベンゾイル,98-88-4,1%未満,1%未満,Benzoyl chloride,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
103,塩化ホスホリル,10025-87-3,1%未満,1%未満,Phosphoryl chloride,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
104,塩素,7782-50-5,1%未満,1%未満,Chlorine,"1%, no less than ","1%, no less than ",○第2類,,,,1%,1.0%,1%,1.0%
105,塩素化カンフェン（別名トキサフェン）,8001-35-2,1%未満,0.1%未満,Chlorinated camphene (alias Toxaphene),"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
106,塩素化ジフェニルオキシド,31242-93-0,1%未満,1%未満,Chlorinated diphenyloxide,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
107,黄りん,12185-10-3,1%未満,0.1%未満,Yellow Phosphorus,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
108,４，４′―オキシビス（２―クロロアニリン）,28434-86-8,1%未満,0.1%未満,"4,4'-Oxybis(2-chloroaniline)","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
109,オキシビス（チオホスホン酸）Ｏ，Ｏ，Ｏ′，Ｏ′―テトラエチル（別名スルホテップ）,3689-24-5,1%未満,0.1%未満,"O,O,O',O'-Tetraethyl oxybis(thiophosphonate) (alias Sulfotep)","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
