番号,表示・通知義務対象物質,CAS番号,表示裾切,通知裾切,Substances,"Content (Weight Percent)
315,水銀及びその無機化合物,＊,0.3%未満,0.1%未満,Mercury and its inorganic compounds,"0.3%, no less than ","0.1%, no less than ","○第2類
※硫化水銀を除く",,,,0.3%,0.3%,0.1%,0.1%
316,水酸化カリウム,1310-58-3,1%未満,1%未満,Potassium hydroxide,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
317,水酸化カルシウム,1305-62-0,1%未満,1%未満,Calcium hydroxide,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
318,水酸化セシウム,21351-79-1,1%未満,1%未満,Cesium hydroxide,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
319,水酸化ナトリウム,1310-73-2,1%未満,1%未満,Sodium hydroxide,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
320,水酸化リチウム,1310-65-2,0.3%未満,0.1%未満,Lithium hydroxide,"0.3%, no less than ","0.1%, no less than ",,,,,0.3%,0.3%,0.1%,0.1%
320-2,水素化ビス（２―メトキシエトキシ）アルミニウムナトリウム,22722-98-1,1%未満,1%未満,Sodium dihydridobis(2-methoxyethanolato)aluminate,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
321,水素化リチウム,7580-67-8,0.3%未満,0.1%未満,Lithium hydride,"0.3%, no less than ","0.1%, no less than ",,,,,0.3%,0.3%,0.1%,0.1%
322,すず及びその化合物,＊,1%未満,0.1%未満,Tin and its compounds,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
323,スチレン,100-42-5,0.3%未満,0.1%未満,Styrene,"0.3%, no less than ","0.1%, no less than ",○第2類,,,,0.3%,0.3%,0.1%,0.1%
324,ステアリン酸亜鉛,557-05-1,1%未満,1%未満,Zinc stearate,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
325,ステアリン酸ナトリウム,822-16-2,1%未満,1%未満,Sodium stearate,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
326,ステアリン酸鉛,1072-35-1,0.1%未満,0.1%未満,Lead stearate,"0.1%, no less than ","0.1%, no less than ",,,○,,0.1%,0.1%,0.1%,0.1%
327,ステアリン酸マグネシウム,557-04-0,1%未満,1%未満,Magnesium stearate,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
328,ストリキニーネ,57-24-9,1%未満,1%未満,Strychnine,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
329,石油エーテル,＊,1%未満,1%未満,Petroleum ether,"1%, no less than ","1%, no less than ",,○第3種,,,1%,1.0%,1%,1.0%
330,石油ナフサ,＊,1%未満,1%未満,Petroleum naphtha,"1%, no less than ","1%, no less than ",,○第3種,,,1%,1.0%,1%,1.0%
331,石油ベンジン,＊,1%未満,1%未満,Petroleum benzine,"1%, no less than ","1%, no less than ",,○第3種,,,1%,1.0%,1%,1.0%
332,セスキ炭酸ナトリウム,533-96-0,1%未満,1%未満,Sodium sesquicarbonate,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
333,セレン及びその化合物,＊,1%未満,0.1%未満,Selenium and its compounds,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
334,２―ターシャリ―ブチルイミノ―３―イソプロピル―５―フェニルテトラヒドロ―４Ｈ―１，３，５―チアジアジン―４―オン（別名ブプロフェジン）,69327-76-0,1%未満,1%未満,"2-tert-Butylimino-3-isopropyl-5-phenyltetrahydro-4H-1,3,5-thiadiazin-4-one (alias Buprofezin)","1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
335,タリウム及びその水溶性化合物,＊,0.1%未満,0.1%未満,Thallium and its water-soluble compounds,"0.1%, no less than ","0.1%, no less than ",,,,,0.1%,0.1%,0.1%,0.1%
336,炭化けい素,409-21-2,0.1%未満,0.1%未満,Silicon carbide,"0.1%, no less than ","0.1%, no less than ",,,,,0.1%,0.1%,0.1%,0.1%
337,タングステン及びその水溶性化合物,＊,1%未満,1%未満,Tungsten and its water-soluble compounds,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
338,タンタル及びその酸化物,＊,1%未満,1%未満,Tantalum and its oxide,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
339,チオジ（パラ―フェニレン）―ジオキシ―ビス（チオホスホン酸）Ｏ，Ｏ，Ｏ′，Ｏ′―テトラメチル（別名テメホス）,3383-96-8,1%未満,1%未満,"O,O,O',O'-Tetramethyl thiodi(p-phenylene)-dioxy-bis(phosphorothioate) (alias Temephos)","1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
340,チオ尿素,62-56-6,1%未満,0.1%未満,Thiourea,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
341,４，４′―チオビス（６―ターシャリ―ブチル―３―メチルフェノール）,96-69-5,1%未満,1%未満,"4,4'-Thiobis(6-tert-butyl-3-methylphenol)","1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
342,チオフェノール,108-98-5,1%未満,0.1%未満,Thiophenol,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
343,チオりん酸Ｏ，Ｏ―ジエチル―Ｏ―（２―イソプロピル―６―メチル―４―ピリミジニル）（別名ダイアジノン）,333-41-5,1%未満,0.1%未満,"O,O-Diethyl O-(2-isopropyl-6-methyl-4-pyrimidinyl) phosphorothioate (alias Diazinon)","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
344,チオりん酸Ｏ，Ｏ―ジエチル―エチルチオエチル（別名ジメトン）,8065-48-3,1%未満,0.1%未満,"O,O-Diethyl ethylthioethyl phosphorothioate (alias Demeton)","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
345,チオりん酸Ｏ，Ｏ―ジエチル―Ｏ―（６―オキソ―１―フェニル―１，６―ジヒドロ―３―ピリダジニル）（別名ピリダフェンチオン）,119-12-0,1%未満,1%未満,"O,O-Diethyl O-(6-oxo-1-phenyl-1,6-dihydro-3-pyridazinyl) phosphorothioate (alias Pyridaphenthion)","1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
346,チオりん酸Ｏ，Ｏ―ジエチル―Ｏ―（３，５，６―トリクロロ―２―ピリジル）（別名クロルピリホス）,2921-88-2,1%未満,1%未満,"O,O-Diethyl O-(3,5,6-trichloro-2-pyridyl) phosphorothioate (alias Chlorpyrifos)","1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
347,チオりん酸Ｏ，Ｏ―ジエチル―Ｏ―［４―（メチルスルフィニル）フェニル］（別名フェンスルホチオン）,115-90-2,1%未満,1%未満,"O,O-Diethyl O-[4-(methylsulfinyl)phenyl] phosphorothioate (alias Fensulfothion)","1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
348,チオりん酸Ｏ，Ｏ―ジメチル―Ｏ―（２，４，５―トリクロロフェニル）（別名ロンネル）,299-84-3,1%未満,0.1%未満,"O,O-Dimethyl O-(2,4,5-trichlorophenyl) phosphorothioate (alias Ronnel)","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
349,チオりん酸Ｏ，Ｏ―ジメチル―Ｏ―（３―メチル―４―ニトロフェニル）（別名フェニトロチオン）,122-14-5,1%未満,1%未満,"O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate (alias Fenitrothion)","1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
350,チオりん酸Ｏ，Ｏ―ジメチル―Ｏ―（３―メチル―４―メチルチオフェニル）（別名フェンチオン）,55-38-9,1%未満,0.1%未満,"O,O-Dimethyl O-(3-methyl-4-methylthiophenyl) phosphorothioate (alias Fenthion)","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
351,デカボラン,17702-41-9,1%未満,1%未満,Decaborane,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
352,鉄水溶性塩,＊,1%未満,1%未満,Water-soluble iron salts,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
353,１，４，７，８―テトラアミノアントラキノン（別名ジスパースブルー１）,2475-45-8,1%未満,0.1%未満,"1,4,7,8-Tetraaminoanthraquinone (alias Disperse Blue 1)","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
354,テトラエチルチウラムジスルフィド（別名ジスルフィラム）,97-77-8,1%未満,0.1%未満,Tetraethylthiuram disulfide (alias Disulfiram),"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
355,テトラエチルピロホスフェイト（別名ＴＥＰＰ）,107-49-3,1%未満,1%未満,Tetraethyl diphosphate (alias TEPP),"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
356,テトラエトキシシラン,78-10-4,1%未満,1%未満,Tetraethoxysilane,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
357,１，１，２，２―テトラクロロエタン（別名四塩化アセチレン）,79-34-5,1%未満,0.1%未満,"1,1,2,2-Tetrachloroethane (alias Tetrachloroacetylene)","1%, no less than ","0.1%, no less than ",○第2類,,,,1%,1.0%,0.1%,0.1%
358,Ｎ―（１，１，２，２―テトラクロロエチルチオ）―１，２，３，６―テトラヒドロフタルイミド（別名キャプタフォル）,2425-06-1,0.1%未満,0.1%未満,"N-(1,1,2,2-Tetrachloroethylthio)-1,2,3,6-tetrahydrophthalimide; N-(1,1,2,2-Tetrachloroethylthio)-3a,4,7,7a-tetrahydrophthalimide (alias Captafol)","0.1%, no less than ","0.1%, no less than ",,,,,0.1%,0.1%,0.1%,0.1%
359,テトラクロロエチレン（別名パークロルエチレン）,127-18-4,0.1%未満,0.1%未満,Tetrachloroethylene (alias Perchloroethylene),"0.1%, no less than ","0.1%, no less than ",○第2類,,,,0.1%,0.1%,0.1%,0.1%
360,４，５，６，７―テトラクロロ―１，３―ジヒドロベンゾ［ｃ］フラン―２―オン（別名フサライド）,27355-22-2,1%未満,1%未満,"4,5,6,7-Tetrachloro-1,3-dihydrobenzo[c]furan-2-one; 4,5,6,7-Tetrachloro-(3H)-benzo[c]furan-2-one (alias Fthalide)","1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
361,テトラクロロジフルオロエタン（別名ＣＦＣ―１１２）,76-12-0,1%未満,1%未満,Tetrachlorodifluoroethane (alias CFC-112),"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
362,２，３，７，８―テトラクロロジベンゾ―１，４―ジオキシン,1746-01-6,0.1%未満,0.1%未満,"2,3,7,8-Tetrachlorodibenzo[b,e][1,4]dioxin","0.1%, no less than ","0.1%, no less than ",,,,,0.1%,0.1%,0.1%,0.1%
363,テトラクロロナフタレン,1335-88-2,1%未満,1%未満,Tetrachloronaphthalene,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
364,テトラナトリウム＝３，３′―［（３，３′―ジメチル―４，４′―ビフェニリレン）ビス（アゾ）］ビス［５―アミノ―４―ヒドロキシ―２，７―ナフタレンジスルホナート］（別名トリパンブルー）,72-57-1,1%未満,0.1%未満,"Tetrasodium 3,3'-[(3,3'-dimethyl-4,4'-biphenylylene)bis(azo)]bis[5-amino-4-hydroxy-2,7-naphthalenedisulfonate] (alias Trypan blue)","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
365,テトラナトリウム＝３，３′―［（３，３′―ジメトキシ―４，４′―ビフェニリレン）ビス（アゾ）］ビス［５―アミノ―４―ヒドロキシ―２，７―ナフタレンジスルホナート］（別名ＣＩダイレクトブルー１５）,2429-74-5,1%未満,0.1%未満,"Tetrasodium 3,3'-[(3,3'-dimethoxy-4,4'-biphenylylene)bis(azo)]bis[5-amino-4-hydroxy-2,7-naphthalenedisulfonate] (alias CI direct blue 15)","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
366,テトラニトロメタン,509-14-8,1%未満,0.1%未満,Tetranitromethane,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
367,テトラヒドロフラン,109-99-9,1%未満,0.1%未満,Tetrahydrofuran,"1%, no less than ","0.1%, no less than ",,○第2種,,,1%,1.0%,0.1%,0.1%
367-2,テトラヒドロメチル無水フタル酸,11070-44-3,1%未満,0.1%未満,Tetrahydromethylphthalic anhydride,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
368,テトラフルオロエチレン,116-14-3,1%未満,0.1%未満,Tetrafluoroethylene,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
369,１，１，２，２―テトラブロモエタン,79-27-6,1%未満,1%未満,"1,1,2,2-Tetrabromoethane","1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
370,テトラブロモメタン,558-13-4,1%未満,1%未満,Tetrabromomethane,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
371,テトラメチルこはく酸ニトリル,3333-52-6,1%未満,1%未満,Tetramethylsuccinic acid dinitrile,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
372,テトラメチルチウラムジスルフィド（別名チウラム）,137-26-8,0.1%未満,0.1%未満,Tetramethylthiuram disulfide (alias Thiuram),"0.1%, no less than ","0.1%, no less than ",,,,,0.1%,0.1%,0.1%,0.1%
373,テトラメトキシシラン,681-84-5,1%未満,1%未満,Tetramethoxysilane,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
374,テトリル,479-45-8,1%未満,0.1%未満,Tetryl,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
375,テルフェニル,26140-60-3,1%未満,1%未満,Terphenyl,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
376,テルル及びその化合物,＊,1%未満,0.1%未満,Tellurium and its compounds,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
377,テレビン油,8006-64-2,1%未満,0.1%未満,Turpentine oil,"1%, no less than ","0.1%, no less than ",,○第3種,,,1%,1.0%,0.1%,0.1%
378,テレフタル酸,100-21-0,1%未満,1%未満,Terephthalic acid,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
379,銅及びその化合物,＊,1%未満,0.1%未満,Copper and its compounds,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
380,灯油,8008-20-6,1%未満,0.1%未満,Kerosene,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
381,トリエタノールアミン,102-71-6,1%未満,0.1%未満,Triethanolamine,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
382,トリエチルアミン,121-44-8,1%未満,1%未満,Triethylamine,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
383,トリクロロエタン,下記,1%未満,0.1%未満,Trichloroethane,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
383,１，１，１－トリクロロエタン,71-55-6,1%未満,0.1%未満,"1,1,1-Trichloroethane","1%, no less than ","0.1%, no less than ",,○第2種,,,1%,1.0%,0.1%,0.1%
383,１，１，２－トリクロロエタン,79-00-5,1%未満,0.1%未満,"1,1,2-Trichloroethane","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
384,トリクロロエチレン,79-01-6,0.1%未満,0.1%未満,Trichloroethylene,"0.1%, no less than ","0.1%, no less than ",○第2類,,,,0.1%,0.1%,0.1%,0.1%
385,トリクロロ酢酸,76-03-9,1%未満,0.1%未満,Trichloroacetic acid,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
386,１，１，２―トリクロロ―１，２，２―トリフルオロエタン,76-13-1,1%未満,1%未満,"1,1,2-Trichloro-1,2,2-trifluoroethane; CFC-113","1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
387,トリクロロナフタレン,1321-65-9,1%未満,1%未満,Trichloronaphthalene,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
388,１，１，１―トリクロロ―２，２―ビス（４―クロロフェニル）エタン（別名ＤＤＴ）,50-29-3,0.1%未満,0.1%未満,"1,1,1-Trichloro-2,2-bis(4-chlorophenyl)ethane (alias DDT)","0.1%, no less than ","0.1%, no less than ",,,,,0.1%,0.1%,0.1%,0.1%
389,１，１，１―トリクロロ―２，２―ビス（４―メトキシフェニル）エタン（別名メトキシクロル）,72-43-5,1%未満,0.1%未満,"1,1,1-Trichloro-2,2-bis(4-methoxyphenyl)ethane (alias Methoxychlor)","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
390,２，４，５―トリクロロフェノキシ酢酸,93-76-5,0.3%未満,0.1%未満,"2,4,5-Trichlorophenoxyacetic acid","0.3%, no less than ","0.1%, no less than ",,,,,0.3%,0.3%,0.1%,0.1%
391,トリクロロフルオロメタン（別名ＣＦＣ―１１）,75-69-4,1%未満,0.1%未満,Trichlorofluoromethane (alias CFC-11),"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
392,１，２，３―トリクロロプロパン,96-18-4,0.1%未満,0.1%未満,"1,2,3-Trichloropropane","0.1%, no less than ","0.1%, no less than ",,,,,0.1%,0.1%,0.1%,0.1%
393,１，２，４―トリクロロベンゼン,120-82-1,1%未満,1%未満,"1,2,4-Trichlorobenzene","1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
394,トリクロロメチルスルフェニル＝クロリド,594-42-3,1%未満,1%未満,Trichloromethylsulfenyl chloride,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
395,Ｎ―（トリクロロメチルチオ）―１，２，３，６―テトラヒドロフタルイミド（別名キャプタン）,133-06-2,1%未満,0.1%未満,"N-(Trichloromethylthio)-1,2,3,6-tetrahydrophthalimide; N-(Trichloromethylthio)-3a,4,7,7a-tetrahydrophthalimide (alias Captan)","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
396,トリシクロヘキシルすず＝ヒドロキシド,13121-70-5,1%未満,1%未満,Tricyclohexyltin hydroxide,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
397,１，３，５―トリス（２，３―エポキシプロピル）―１，３，５―トリアジン―２，４，６（１Ｈ，３Ｈ，５Ｈ）―トリオン,2451-62-9,0.1%未満,0.1%未満,"1,3,5-Tris(2,3-epoxypropyl)-1,3,5-triazine-2,4,6(1H,3H,5H)-trione","0.1%, no less than ","0.1%, no less than ",,,,,0.1%,0.1%,0.1%,0.1%
398,トリス（Ｎ，Ｎ―ジメチルジチオカルバメート）鉄（別名ファーバム）,14484-64-1,1%未満,0.1%未満,"Tris(N,N-dimethyldithiocarbamate)iron (alias Ferbam)","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
399,トリニトロトルエン,118-96-7,1%未満,0.1%未満,Trinitrotoluene,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
400,トリフェニルアミン,603-34-9,1%未満,1%未満,Triphenylamine,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
401,トリブロモメタン,75-25-2,1%未満,0.1%未満,Tribromomethane,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
402,２―トリメチルアセチル―１，３―インダンジオン,83-26-1,1%未満,1%未満,"2-Trimethylacetyl-1,3-indandione","1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
403,トリメチルアミン,75-50-3,1%未満,1%未満,Trimethylamine,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
404,トリメチルベンゼン,25551-13-7,1%未満,1%未満,Trimethylbenzene,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
405,トリレンジイソシアネート,26471-62-5他,1%未満,0.1%未満,Tolylene diisocyanate,"1%, no less than ","0.1%, no less than ",○第2類,,,,1%,1.0%,0.1%,0.1%
406,トルイジン,26915-12-8,0.1%未満,0.1%未満,Toluidine,"0.1%, no less than ","0.1%, no less than ",,,,,0.1%,0.1%,0.1%,0.1%
406,ｏ－トルイジン,95-53-4,0.1%未満,0.1%未満,o-Toluidine,"0.1%, no less than ","0.1%, no less than ",○第2類,,,,0.1%,0.1%,0.1%,0.1%
406,ｍ－トルイジン,108-44-1,0.1%未満,0.1%未満,m-Toluidine,"0.1%, no less than ","0.1%, no less than ",,,,,0.1%,0.1%,0.1%,0.1%
406,ｐ－トルイジン,106-49-0,0.1%未満,0.1%未満,p-Toluidine,"0.1%, no less than ","0.1%, no less than ",,,,,0.1%,0.1%,0.1%,0.1%
407,トルエン,108-88-3,0.3%未満,0.1%未満,Toluene,"0.3%, no less than ","0.1%, no less than ",,○第2種,,,0.3%,0.3%,0.1%,0.1%
408,ナフタレン,91-20-3,1%未満,0.1%未満,Naphthalene,"1%, no less than ","0.1%, no less than ",○第2類,,,,1%,1.0%,0.1%,0.1%
409,１―ナフチルチオ尿素,86-88-4,1%未満,1%未満,1-Naphthylthiourea,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
410,１―ナフチル―Ｎ―メチルカルバメート（別名カルバリル）,63-25-2,1%未満,1%未満,1-Naphthyl-N-methylcarbamate (alias Carbaryl),"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
411,鉛及びその無機化合物,＊,0.1%未満,0.1%未満,Lead and its inorganic compounds,"0.1%, no less than ","0.1%, no less than ",,,○※鉛化合物は厚生労働大臣指定の物に限る。,,0.1%,0.1%,0.1%,0.1%
412,二亜硫酸ナトリウム,7681-57-4,1%未満,1%未満,Sodium disulfite,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
413,ニコチン,54-11-5,1%未満,0.1%未満,Nicotine,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
414,二酸化硫黄,7446-09-5,1%未満,1%未満,Sulfur dioxide,"1%, no less than ","1%, no less than ",○第3類,,,,1%,1.0%,1%,1.0%
415,二酸化塩素,10049-04-4,1%未満,1%未満,Chlorine dioxide,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
416,二酸化窒素,10102-44-0,1%未満,0.1%未満,Nitrogen dioxide,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
417,二硝酸プロピレン,6423-43-4,1%未満,1%未満,Propylene glycol dinitrate,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
418,ニッケル,7440-02-0,1%未満,0.1%未満,Nickel,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
418,ニッケル化合物,＊,0.1%未満,0.1%未満,Nickel compounds,"0.1%, no less than ","0.1%, no less than ","○第2類
※粉状の物に限る",,,,0.1%,0.1%,0.1%,0.1%
418,ニッケルカルボニル,13463-39-3,0.1%未満,0.1%未満,Nickel carbonyl,"0.1%, no less than ","0.1%, no less than ",○第2類,,,,0.1%,0.1%,0.1%,0.1%
419,ニトリロ三酢酸,139-13-9,1%未満,0.1%未満,Nitrilotriacetic acid,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
420,５―ニトロアセナフテン,602-87-9,1%未満,0.1%未満,5-Nitroacenaphthene,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
421,ニトロエタン,79-24-3,1%未満,1%未満,Nitroethane,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
422,ニトログリコール,628-96-6,1%未満,1%未満,Nitroglycol,"1%, no less than ","1%, no less than ",○第2類,,,,1%,1.0%,1%,1.0%
423,ニトログリセリン,55-63-0,－,－,Nitroglycerin （※）,－,－,,,,,0,0.0%,0,0.0%
424,ニトロセルローズ,9004-70-0,－,－,Nitrocellulose,－,－,,,,,0,0.0%,0,0.0%
